,1,2,3,4,5
67,University of Pittsburgh,30642,#68,Pittsburgh,PA
68,American University,46615,#69,Washington,DC
69,Rutgers University--New Brunswick,30023,#69,Piscataway,NJ
70,Stevens Institute of Technology,50554,#69,Hoboken,NJ
71,Texas A&M University--College Station,30208,#69,College Station,TX
72,University of Minnesota--Twin Cities,26603,#69,Minneapolis,MN
73,Virginia Tech,29371,#69,Blacksburg,VA
74,Baylor University,43790,#75,Waco,TX
75,Colorado School of Mines,37436,#75,Golden,CO
76,University of Massachusetts--Amherst,33662,#75,Amherst,MA
77,Miami University--Oxford,32768,#78,Oxford,OH
78,Texas Christian University,44760,#78,Fort Worth,TX
79,University of Iowa,28813,#78,Iowa City,IA
80,Clark University,44400,#81,Worcester,MA
81,Florida State University,21673,#81,Tallahassee,FL
82,Michigan State University,39405,#81,East Lansing,MI
83,North Carolina State University--Raleigh,27406,#81,Raleigh,NC
84,University of California--Santa Cruz,42042,#81,Santa Cruz,CA
85,University of Delaware,32250,#81,Newark,DE
86,Binghamton University--SUNY,24403,#87,Binghamton,NY
87,University of Denver,48669,#87,Denver,CO
88,University of Tulsa,39502,#87,Tulsa,OK
89,Indiana University--Bloomington,34845,#90,Bloomington,IN
90,Marquette University,39900,#90,Milwaukee,WI
91,University of Colorado--Boulder,35079,#90,Boulder,CO
92,University of San Diego,47708,#90,San Diego,CA
93,Drexel University,52002,#94,Philadelphia,PA
94,Saint Louis University,42166,#94,St. Louis,MO
95,Yeshiva University,42000,#94,New York,NY
96,Rochester Institute of Technology,40068,#97,Rochester,NY
97,Stony Brook University--SUNY,26297,#97,Stony Brook,NY
98,SUNY College of Environmental Science and Forestry,18090,#97,Syracuse,NY
99,University at Buffalo--SUNY,26270,#97,Buffalo,NY
100,University of Oklahoma,24443,#97,Norman,OK
101,University of Vermont,41356,#97,Burlington,VT
102,Auburn University,29640,#103,Auburn,AL
103,Illinois Institute of Technology,45864,#103,Chicago,IL
104,Loyola University Chicago,42828,#103,Chicago,IL
105,University of New Hampshire,32637,#103,Durham,NH
106,University of Oregon,34611,#103,Eugene,OR
107,University of South Carolina,32362,#103,Columbia,SC
108,University of Tennessee,31160,#103,Knoxville,TN
109,Howard University,25697,#110,Washington,DC
110,University of Alabama,28100,#110,Tuscaloosa,AL
111,University of San Francisco,46250,#110,San Francisco,CA
112,University of the Pacific,46346,#110,Stockton,CA
113,University of Utah,26408,#110,Salt Lake City,UT
114,Arizona State University--Tempe,27372,#115,Tempe,AZ
115,Iowa State University,22256,#115,Ames,IA
116,Temple University,27266,#115,Philadelphia,PA
117,University of Kansas,26592,#115,Lawrence,KS
118,University of St. Thomas,41133,#115,St. Paul,MN
119,The Catholic University of America,44060,#120,Washington,DC
120,DePaul University,39010,#120,Chicago,IL
121,Duquesne University,36394,#120,Pittsburgh,PA
122,University of Missouri,26506,#120,Columbia,MO
123,Clarkson University,47950,#124,Potsdam,NY
124,Colorado State University,29140,#124,Fort Collins,CO
125,Michigan Technological University,32318,#124,Houghton,MI
126,Seton Hall University,40588,#124,South Orange,NJ
127,University of Arizona,32449,#124,Tucson,AZ
128,University of California--Riverside,41931,#124,Riverside,CA
129,University of Dayton,41750,#124,Dayton,OH
130,University of Nebraska--Lincoln,23256,#124,Lincoln,NE
